Name,Genres,Popularity,Followers,Artist_URI
Hypocrisy,"black metal, brutal death metal, death metal, melodic death metal, metal, swedish death metal, swedish melodeath, swedish metal",40,178497,spotify:artist:73UIalJYgktSi7qQFV53Qv
Divinity,"canadian death metal, technical melodic death metal",32,1566,spotify:artist:4CLfDoR4nJvzfMsBckrZ0t
Gatecreeper,"death metal, deathgrind, new wave of osdm, sludge metal",32,69801,spotify:artist:0eCB2pwtPnLywA4rxe4i4N
iwrestledabearonce,"alabama metal, american metalcore, deathcore, melodic metalcore, nintendocore",31,106082,spotify:artist:2eFVIT8j6TJ7pPMhZYPwti
Allegaeon,"american melodeath, denver metal, melodic death metal, technical death metal, technical melodic death metal",33,77988,spotify:artist:5NIvyOvy39ljx9w71rnCS1
Belphegor,"austrian black metal, austrian metal, black metal, brutal death metal, death metal, symphonic black metal",38,186856,spotify:artist:1uPIYn2IU0IuPWSZ58kzyM
Imperial Circus Dead Decadence,"japanese death metal, japanese power metal",36,49582,spotify:artist:5bgW1AysTzHav20snaPkyp
Ingested,"brutal death metal, deathcore, deathgrind, slamming deathcore, technical death metal",35,84806,spotify:artist:0EziqO4Mehje1x6hA1Fg2m
Black Tongue,"blackened deathcore, brutal deathcore, deathcore, downtempo deathcore, melodic metalcore, progressive deathcore",32,77503,spotify:artist:5vTCEZ15eybRnoqUAra4Ys
Frozen Soul,"cavernous death metal, cosmic death metal, texas death metal, texas metal",32,37580,spotify:artist:1hwwmQI1vhQamuIksyDKG6
Autopsy,"black metal, brutal death metal, death metal, deathgrind, grindcore, metal, technical death metal",35,101862,spotify:artist:6hR8mUd2yyHFazoCuweiIJ
Xavlegbmaofffassssitimiwoamndutroabcwapwaeiippohfffx,"comic metal, slam death metal",35,148200,spotify:artist:1eawNkjAXDg8ZbArWOKktY
Tomb Mold,"canadian death metal, cavernous death metal, cosmic death metal, new wave of osdm, voidgrind",32,43226,spotify:artist:1zFGR4NaBbCDBGwifPKGfM
Moonspell,"gothic black metal, gothic metal, melodic death metal, metal, portuguese black metal, portuguese metal, portuguese rock, power metal",41,231194,spotify:artist:17bYSQ9ZRnreVnJjE5X2x6
Necrophagist,"brutal death metal, death metal, deathgrind, german death metal, technical death metal, turkish death metal",34,140309,spotify:artist:22GSc8UsPGIP5mrM4W57rY
Mors Principium Est,"finnish death metal, finnish melodeath, finnish metal, melodic death metal",36,87866,spotify:artist:1k0jnWb55QS6FjTU9LzMhi
The Halo Effect,"finnish metal, melodic death metal",40,72614,spotify:artist:2qvK5iLLoDV5mJeAvh5uka
Wormrot,"deathgrind, grindcore, singaporean metal",34,55224,spotify:artist:3vMnvW7u5207ATyxTQIxNz
Immolation,"black metal, brutal death metal, death metal, grindcore, new york death metal, technical death metal, thrash metal",33,105731,spotify:artist:3rt16vhD1OuULlsyxUUWIt
Aborted,"belgian death metal, belgian metal, brutal death metal, death metal, deathgrind, goregrind, grindcore, technical death metal",34,122855,spotify:artist:1XRhUgCyzIdeT8d9KMfeDR
Persefone,"djent, melodic death metal, musica andorra, progressive death metal, progressive metal, symphonic death metal",36,59750,spotify:artist:4wxyib7wQwVxwKNFBmOhAw
Skinless,"brutal death metal, death metal, new york death metal",31,73367,spotify:artist:5OLgWkV7opwcxN7zOhKb6g
The Zenith Passage,"brutal death metal, djent, sci-fi metal, technical brutal death metal, technical death metal",32,35715,spotify:artist:55ISuKXdlefU2R5hV3GWnf
Marduk,"black metal, death metal, metal, swedish black metal, swedish metal",39,234037,spotify:artist:2lxB5NTcQXj7GGRR4xAVaH
